Label,Food,Utility,Carbohydrate,Fat,Protein
A,Ee Mee Seafood (Fried),90,0.31,0.54,0.15
B,Ngoh Hiang Mixed Items,100,0.37,0.49,0.13
C,Laksa,90,0.51,0.17,0.32
D,Ipoh Horfun,100,0.59,0.28,0.13
E,Fried Hong Kong Noodles,80,0.37,0.48,0.15
F,Chicken Teriyaki Don,70,0.46,0.34,0.21
G,Fried Hokkien Noodles,80,0.42,0.44,0.14
H,Braised Duck With Yam Rice,70,0.7,0.15,0.15
I,Lor Mee,70,0.59,0.26,0.15
J,Fried Carrot Cake,80,0.44,0.47,0.09
K,Roti Prata with Egg (2 pieces),80,0.39,0.44,0.17
L,Shrimp Fried Rice,70,0.52,0.25,0.22
M,Nasi Lemak,90,0.39,0.49,0.12
N,Pork Satay with Sauce (10 sticks),100,0.25,0.56,0.19
O,Fried Beehoon,70,0.73,0.18,0.09
P,Tau Suan,90,0.86,0.06,0.08
Q,Pizza (2 slices),90,0.5,0.31,0.19
R,Carbonara,100,0.47,0.36,0.17
S,Butter Crab (500 gram),90,0.14,0.66,0.21
T,Mac and Cheese,80,0.55,0.23,0.22
U,Fish and Chips,100,0.32,0.59,0.08
